price,views per hour,link,condition,shipping,import charges,sale type,model,capacity,color
655.1874,17,https://www.ebay.ca/itm/284047527620?epid=7034220566&_trkparms=ispr%3D1&hash=item42228d4ec4:g:omkAAOSwmoNfiahf&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSwcmzw5CLtzTE60FqHcnq2CePEyCuRzgPPWpgs1tfX7%252Bnkw0Kwo5w7cJQQ2Pg0mqP90%252Bo8W3I5MZ6MTWTm%252BGF5wmfVdlz0MBa9Y3%252FPhPYzletITxYV1gYp0%252BwUSjavGuy6NyJu8gkj2LqZ%252F6dNLUBCs3Py5QeuEM5H2EhETCd0CsfkfujzZopTSiyWP5QInMwLTqT%252FCzfTqWsXX%252FuuLhwA53qzkkHMsWzaFSn3bCdFN5SD9sRhoxZKtGW9Q9QB8mjs9zxdkFrbqPghCLLRtEsYkxyviXm1GAVdaZwmytfTYQY69aNTTTevP8mJAmYfu9olPUcIYvI6WwZoLx3PwKhEzDX6ULE5tzSYZD6HrjmhbSBIcOHVQvOeFxtpMW4YbmIgwxaqapdja3Xi4bqHy83RwUymeomFB1VRZ%252BIGMyace7%252B4sPMgXOyQrhXN6NHHLwd%252B7Va8XPk%252F7vezf%252BLKzmPEOl9nAtmWLeL1Mmo7iZiwUTr17DnkZFrrIeShJbQI8oEyGW34dU7MgQWd1kbJxxXcJYGkL87MnY4RWPO32khSiLaTriNCBdLs%252FP31Mg9QUqlEv4BjU813dlJbOvZiLwi9YCA%252BlRjaDruga1poB0oF83lqZdr3yg3GfD5nZEK44PHG5Gnz05Z8Uv%252FIHj1Wqq8jgnebD2CWk2qcCGe7iO5gjM%252BZcwSgjK2Y4sS1RIBrFvQ8k%252BUleRoFYcZJoX6zQNWtz8j6HID7NJwbj%252BVAwElm0tYaiMddq3egYgmWiLO0U8CK4oUhF7rfTQjZXFywss1ORAalrAdRVwsaKQzD1Uk%252BR4iR1cAaIEplydaXRqEedvB%7Campid%3APL_CLK%7Cclp%3A2334524,1,24.3054,89.208,1,22,0,
196.5474,55,https://www.ebay.ca/itm/283575635091?epid=239054170&_trkparms=ispr%3D1&hash=item42066ccc93:g:yNsAAOSwCx5bxLpA&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSwcmzw5CLtzTE60FqHcnq2PYsVOfthRSeQrzU3NeEBrrlB6TdBa6Ra3HQgHslIicRrqliXVTmgXnL8yXV4G4%252FrCS1JiS3tqEQA0Mvkml%252FDVb%252BHn4Hfp4FGCI0kfX8hPbD3b%252B5ZaCTWjc5%252BEI1h2W3ey3yve5h1vKj3MKDRFSnTBHXuC3zfZYzdfL1ZY9qES%252Brk0oGNYADLHoHHNfR9o4bXiPVQ9fdc5uVcqMNpsHriEPsDgari5LurQL8nQmkID%252FLTh8JQKxyPhMePkjUiGWwgYkavHsHdt1cFTtqTPP3yqYnWNkIXTPLA%252BiTGCJv%252BCLfkJL4weSvl9fHpynk4awUwxRx9j7fj%252FCwxigoQeCLnUDWkWkO8SHT6453GvQ8eEI%252FBibt6MaZPLYpmVDL1rhSUndZUkX2HLOGjWkGNmmZ62isbRKEvB%252BKOft8zczuHE0jnEahSlmy1359n96GINoN2zqbe4Iw37buBDrm28nUSUyGPsjEA6dxHGbiRGUzGpbYXU2CuoKF43nHUCNCGhMzvqd%252Fmm39Rp5vkMUhTzx%252F5KCjP1GqDLD1W3P4nOG1Erafqmdi8B61oaNV85PoogPa8g1rzBYPdw%252Fn8wQk99Qmky6egAzpDOkO0LDLbKT2ptL%252BSdDzDdebRZywUYVSR0UnDmrUnW6j1l%252BeKclyg0kW0sVxBtdEOW9KspTyCETH48FCxRZs36aduxYxsvuKo%252BKEUCrnrUZ%252FKQPDEE%252FUB4v6DtVs6b4mxYwqwRqhG1Q8xvR8SRPkJQf4INzUxhhcSUy%252BcnxRzXfAnrw0hooEgreAyOWcvpWSlIdqUX6iLBLsomj6%7Campid%3APL_CLK%7Cclp%3A2334524,1,16.002,30.0384,1,14,0,
428.4,-1,https://www.ebay.ca/itm/274888583557?epid=24024745750&hash=item4000a2e985:g:Pk0AAOSw5Fdg-yfG,1,20.6388,63.151199999999996,0,18,64,Gray
337.6674,80,https://www.ebay.ca/itm/273961678907?epid=12043810004&hash=item3fc963783b:g:LGsAAOSw3jtbMUtZ,1,18.522,48.056400000000004,1,18,0,
410.7474,-1,https://www.ebay.ca/itm/282891262221?epid=238944741&hash=item41dda2190d:g:K8QAAOSwVXRbrPZu,1,20.311200000000003,60.7446,1,18,64,Gray
464.99,2,https://www.ebay.ca/itm/184984350687?hash=item2b11ed2fdf:g:zM8AAOSwAEZhDGqI,1,0.0,0.0,1,18,64,Gray
435.0,-1,https://www.ebay.ca/itm/373316406224?epid=239093115&hash=item56eb644bd0:g:G8MAAOSwMSxfoiYI,1,25.0,0.0,1,18,64,Gray
510.2874,94,https://www.ebay.ca/itm/273961746538?epid=16023701424&hash=item3fc964806a:g:Y0EAAOSwxO9cEYtG,1,22.2138,74.28960000000001,1,20,0,
159.96959999999999,-1,https://www.ebay.ca/itm/393037098981?epid=235174040&hash=item5b82d62fe5:g:k1gAAOSwiEFfxKKx,3,16.38,0.0,1,-1,16,Gray
320.0,1,https://www.ebay.ca/itm/194165576668?epid=239093115&hash=item2d352b93dc:g:RTAAAOSwIHFgsREy,1,15.0,0.0,1,18,64,Gray
237.51,-1,https://www.ebay.ca/itm/334098103412?epid=239093115&hash=item4dc9cc7c74:g:mPYAAOSw4E1g-L4x,1,15.75,37.157399999999996,0,18,64,Gray
403.2,6,https://www.ebay.ca/itm/353610267822?epid=240377072&hash=item5254d07cae:g:-w0AAOSwXpdhDSix,1,26.2458,35.7084,0,18,64,Gray
259.0,-1,https://www.ebay.ca/itm/114393289420?epid=240531148&hash=item1aa25f12cc:g:CMYAAOSwnMRdI6M3,1,0.0,0.0,1,14,0,Gray/Gold/Red
85.6674,372,https://www.ebay.ca/itm/293175567896?epid=228434721&_trkparms=ispr%3D1&hash=item4442a02618:g:ktIAAOSwDZ1bKBjp&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsS%252Fwocn770hnih0B3mVHNZ5EK343xmjjoMAUrOpw3ucUsy04%252FjVDHa%252BZGWiyfuRRUBjtyKs6gvvBFlajejF1MdR75Fm%252BY2Uw0598er8FZIah8MiBLrlOcufx1CXw%252F1AzTvLm0BwQpAcN3S8pKa1q7BPUuUS1PlloGq0udfibGEVJ3Qm25dCZo5GcHGNXYC3OCSJiHEBN1c067ucDAj0mxot%252BEXlj15FymS99sJUmjqJ8%252B%252FSd0oC2xLy4vap4g4UTgcRsWkQ7%252BqVM8Vchj6w0%252FAZ%252BPc%252F4p2co4JjH%252FTzO6bXLto0A8V1XdYmgVlziarUHuwlDIBesGJ6%252BINKcDgBD38CHK4flk%252BX%252FaeIz0MCQFNMOnovFA4C41RuZS00vTSnLwv6GGVOWbk4yb6qn4McsIQFyXsIr7BrNevvA%252BaKeSbyYBMztpVbG6vSnf0tqlxSwgPCh0d1%252Bj7t3uSh9JTnRLoIUuHi6iOShCPYrgsgRVsEVBSDPDnn3YOz13%252BESHehIYdajHwaevYF%252Bclleyek%252BvGTYeo6F6zBvN9zKyuyEyKDiVqfeXCigQB95YqWS33HQmY1mKkNth6DOUxZLVSww9bflYLPeV5zO0kD%252FKq786I%252B2%252F75pK%252FOmIBjxFJ3aDE%252BavOI8a7uQPJlvATqC7KpLtkMWG%252F9sQACVq0%252FRQ6y0uZiHDbiyvIJQgBP58XHeOEtcCdWdTRjSBNVZt%252Bo615m1EoTlzPJxVfiFPep9CMAdA33ilR01V2pBgTplhW98ySgBQQs4rYKlCi%252Fvq7E49886JXok5IEuic0jjSWTjh8FqNr6qQXTynR05YIhInxe7PgyZt%7Campid%3APL_CLK%7Cclp%3A2334524,1,12.851999999999999,16.4934,1,8,0,
428.3874,4,https://www.ebay.ca/itm/184164112312?epid=239161003&hash=item2ae10957b8:g:RzgAAOSwcjdfX5Us,1,62.9874,0.0,1,18,64,"Space Gray, Silver"
217.35,-1,https://www.ebay.ca/itm/114921545651?hash=item1ac1db9fb3:g:hIkAAOSwtf9hCw13,1,15.359399999999999,34.4232,0,18,64,See color
